Category,Question,Tag,Answer,Language,Active
關於我們,可供購買產品,,用家想知道有甚麼產品可供購買,zh-hk,True
關於我們,可供購買產品,我有咩可以買?,,zh-hk,True
關於我們,可供購買產品,你地有咩產品provide?,,zh-hk,True
關於我們,可供購買產品,我可以喺邊度睇到產品資料,,zh-hk,True
關於我們,可供購買產品,依家有咩產品提供?,,zh-hk,True
關於我們,可供購買產品,你地有咩product可以provide?,,zh-hk,True
關於我們,可供購買產品,有咩可以係你地度買?,,zh-hk,True
關於我們,可供購買產品,你地有咩賣?,,zh-hk,True
關於我們,可供購買產品,可以買d咩?,,zh-hk,True
關於我們,可供購買產品,有咩可以比我買?,,zh-hk,True
關於我們,基本資料,,用家查詢其他關於公司的資料,zh-hk,True
關於我們,基本資料,你地公司做咩架?,,zh-hk,True
關於我們,基本資料,我想知道你地公司嘅資料,,zh-hk,True
關於我們,基本資料,可唔可以介紹下間公司?,,zh-hk,True
關於我們,基本資料,講下你地間公司,,zh-hk,True
關於我們,基本資料,簡單介紹下你地公司,,zh-hk,True
關於我們,基本資料,可唔可以比你間公司嘅basic information我?,,zh-hk,True
關於我們,基本資料,有咩關於你公司?,,zh-hk,True
關於我們,基本資料,你間公司係點運作嘅?,,zh-hk,True
關於我們,基本資料,呢間公司係做咩嘅?,,zh-hk,True
關於我們,基本資料,你間公司係provide咩服務嘅?,,zh-hk,True
關於我們,店舖位置,,用家想了解店舖的位置,zh-hk,True
關於我們,店舖位置,舖頭喺邊?,,zh-hk,True
關於我們,店舖位置,我可以去邊度揾到舖頭?,,zh-hk,True
關於我們,店舖位置,舖頭嘅地址係咩?,,zh-hk,True
關於我們,店舖位置,間舖頭喺邊度?,,zh-hk,True
關於我們,店舖位置,點樣去間舖頭?,,zh-hk,True
關於我們,店舖位置,間舖係邊?,,zh-hk,True
關於我們,店舖服務,,用家想了解店舖有甚麼服務可以提供,zh-hk,True
關於我們,店舖服務,唔同店舖提供嘅服務會唔會有分別?,,zh-hk,True
關於我們,店舖服務,店舖會提供咩服務?,,zh-hk,True
關於我們,店舖服務,有咩service店舖可以提供?,,zh-hk,True
關於我們,店舖服務,間舖頭會provide咩服務架?,,zh-hk,True
關於我們,店舖服務,間舖頭可以幫我做咩?,,zh-hk,True
關於我們,店舖營業時間,,用家想知道店舖的營業時間,zh-hk,True
關於我們,店舖營業時間,舖頭幾點開門?,,zh-hk,True
關於我們,店舖營業時間,你地幾時收工?,,zh-hk,True
關於我們,店舖營業時間,舖頭個business hour?,,zh-hk,True
關於我們,店舖營業時間,間鋪頭嘅營業時間係幾時?,,zh-hk,True
關於我們,店舖營業時間,舖頭幾點開幾點閂?,,zh-hk,True
關於我們,店舖營業時間,舖頭幾點閂門?,,zh-hk,True
關於我們,店舖電話號碼,,用家想查詢店舖的電話號碼,zh-hk,True
關於我們,店舖電話號碼,我想知道店舖嘅電話號碼,,zh-hk,True
關於我們,店舖電話號碼,店舖嘅電話號碼係咩?,,zh-hk,True
關於我們,店舖電話號碼,舖頭嘅電話number係咩?,,zh-hk,True
關於我們,店舖電話號碼,間鋪頭嘅電話no.係幾號?,,zh-hk,True
關於我們,店舖電話號碼,比間鋪頭嘅電話號碼我,,zh-hk,True
關於我們,更改預約,,用家想更改預約,zh-hk,True
關於我們,更改預約,我想改booking,,zh-hk,True
關於我們,更改預約,我想改appointment,,zh-hk,True
關於我們,更改預約,點樣改期?,,zh-hk,True
關於我們,更改預約,可唔可以改預約?,,zh-hk,True
關於我們,更改預約,點樣改時間?,,zh-hk,True
關於我們,更改預約,"我想改時間,應該點做?",,zh-hk,True
關於我們,聯絡我們,,用家想查詢公司的聯絡資料,zh-hk,True
關於我們,聯絡我們,你地公司嘅聯絡方式,,zh-hk,True
關於我們,聯絡我們,你地公司嘅聯絡資料,,zh-hk,True
關於我們,聯絡我們,點樣comtact到你地?,,zh-hk,True
關於我們,聯絡我們,你地公司個電話號碼係咩?,,zh-hk,True
關於我們,聯絡我們,點樣聯絡到你地?,,zh-hk,True
關於我們,聯絡我們,點樣contact到你地?,,zh-hk,True
關於我們,聯絡我們,點樣搵你地?,,zh-hk,True
關於我們,聯絡我們,可不可以比間你地嘅聯絡資料我?,,zh-hk,True
關於我們,聯絡我們,可不可以比間你地嘅contact我?,,zh-hk,True
關於我們,職位空缺,,用家想查詢有甚麼職位空缺,zh-hk,True
關於我們,職位空缺,有無職位空缺?,,zh-hk,True
關於我們,職位空缺,你地請唔請人?,,zh-hk,True
關於我們,職位空缺,依家需唔需要請人?,,zh-hk,True
關於我們,職位空缺,我可以去邊度揾工?,,zh-hk,True
關於我們,職位空缺,可唔可以俾就業資訊我?,,zh-hk,True
關於我們,職位空缺,你地而家缺唔缺人?,,zh-hk,True
關於我們,職位空缺,而家有冇空缺?,,zh-hk,True
關於我們,鄰近店舖,,用家想知道鄰近店舖的位置,zh-hk,True
關於我們,鄰近店舖,我想知附近邊度有舖頭,,zh-hk,True
關於我們,鄰近店舖,邊間舖頭最近我屋企?,,zh-hk,True
關於我們,鄰近店舖,邊間舖頭最近我?,,zh-hk,True
關於我們,鄰近店舖,最近我嘅舖頭喺邊?,,zh-hk,True
關於我們,鄰近店舖,附近嘅鋪頭係邊?,,zh-hk,True
關於我們,鄰近店舖,點去最近嘅舖頭?,,zh-hk,True
關於我們,預約,,用家想進行預約,zh-hk,True
關於我們,預約,我想make個appointment,,zh-hk,True
關於我們,預約,我想約個時間,,zh-hk,True
關於我們,預約,點樣預約?,,zh-hk,True
關於我們,預約,點樣make appointment?,,zh-hk,True
關於我們,預約,點樣約時間?,,zh-hk,True
關於我們,預約,"我想預約時間, 應該點做?",,zh-hk,True
關於我們,預約,點樣book 時間?,,zh-hk,True
離題,以上皆不是,,用家提出的問題與服務無關,zh-hk,True
離題,以上皆不是,我想問其他嘢,,zh-hk,True
離題,以上皆不是,我有其他問題想問,,zh-hk,True
離題,以上皆不是,我想問你地其他嘢,,zh-hk,True
離題,以上皆不是,有d無關嘅問題想問下,,zh-hk,True
投訴,客戶投訴,,用戶對設備或服務不滿,zh-hk,True
投訴,客戶投訴,我要投訴,,zh-hk,True
投訴,客戶投訴,服務好差,,zh-hk,True
投訴,客戶投訴,服務質素低,,zh-hk,True
投訴,客戶投訴,我點樣投訴?,,zh-hk,True
投訴,客戶投訴,我同邊個complain,,zh-hk,True
投訴,客戶投訴,我要complain,,zh-hk,True
投訴,客戶投訴,"d設備好差, 我要點投訴?",,zh-hk,True
投訴,客戶投訴,要點樣投訴?,,zh-hk,True
帳戶管理,兌換積分,,用戶想使用積分購物或現金回贈,zh-hk,True
帳戶管理,兌換積分,我可以點樣用積分,,zh-hk,True
帳戶管理,兌換積分,積分可以點用?,,zh-hk,True
帳戶管理,兌換積分,我想用積分,,zh-hk,True
帳戶管理,兌換積分,我點樣redeem積分,,zh-hk,True
帳戶管理,兌換積分,積分可以做咩,,zh-hk,True
帳戶管理,兌換積分,點樣可以兌換積分購物或者得到現金回贈?,,zh-hk,True
帳戶管理,兌換積分,積分有咩用?,,zh-hk,True
帳戶管理,兌換積分,"想兌換積分,應該點做?",,zh-hk,True
帳戶管理,基本帳戶管理,,"基本帳戶問題,例如如何增加用戶或取消帳戶",zh-hk,True
帳戶管理,基本帳戶管理,我點樣cancel個acc,,zh-hk,True
帳戶管理,基本帳戶管理,我想取消account,,zh-hk,True
帳戶管理,基本帳戶管理,cancel account要點做?,,zh-hk,True
帳戶管理,基本帳戶管理,取消acc有咩手續?,,zh-hk,True
帳戶管理,基本帳戶管理,我點樣加其他人入我個account?,,zh-hk,True
帳戶管理,基本帳戶管理,我想加人去我acc度,,zh-hk,True
帳戶管理,基本帳戶管理,邀請人入我account可以點做?,,zh-hk,True
帳戶管理,基本帳戶管理,點樣做先可以del左個account?,,zh-hk,True
帳戶管理,基本帳戶管理,點樣加其他用戶入我個account?,,zh-hk,True
帳戶管理,帳戶安全性問題,,用戶想檢討或更改帳戶的安全性問題,zh-hk,True
帳戶管理,帳戶安全性問題,我想轉保安問題,,zh-hk,True
帳戶管理,帳戶安全性問題,我點樣轉保安問題?,,zh-hk,True
帳戶管理,帳戶安全性問題,我可唔可以改保安問題?,,zh-hk,True
帳戶管理,帳戶安全性問題,點樣可以加強保障帳戶嘅安全?,,zh-hk,True
帳戶管理,帳戶安全性問題,點樣可以加強保障我個account ge security?,,zh-hk,True
帳戶管理,帳戶安全性問題,"覺得帳戶嘅保安有問題, 應該點做?",,zh-hk,True
帳戶管理,帳戶特權,,用戶想了解他們帳戶有甚麼可購買的產品或服務,zh-hk,True
帳戶管理,帳戶特權,我可以用咩service?,,zh-hk,True
帳戶管理,帳戶特權,我account可以買咩product?,,zh-hk,True
帳戶管理,帳戶特權,我帳戶有咩產品可以買到?,,zh-hk,True
帳戶管理,帳戶特權,你可以provide到咩service比我?,,zh-hk,True
帳戶管理,帳戶特權,有咩產品可以推介比我,,zh-hk,True
帳戶管理,帳戶特權,你可唔可以介紹啱我嘅產品?,,zh-hk,True
帳戶管理,帳戶特權,有咩服務係適合我架?,,zh-hk,True
帳戶管理,帳戶特權,我啱用邊種服務?,,zh-hk,True
帳戶管理,帳戶特權,有咩服務係對我有利?,,zh-hk,True
帳戶管理,帳戶特權,我個帳戶可以買咩產品?,,zh-hk,True
帳戶管理,帳戶特權,有咩係適合我買?,,zh-hk,True
帳戶管理,帳戶特權,有咩係啱我用?,,zh-hk,True
帳戶管理,建立戶口,,用戶想建立戶口,zh-hk,True
帳戶管理,建立戶口,我如何開戶?,,zh-hk,True
帳戶管理,建立戶口,我點樣開戶?,,zh-hk,True
帳戶管理,建立戶口,我想setup個account,,zh-hk,True
帳戶管理,建立戶口,我想開個acc,,zh-hk,True
帳戶管理,建立戶口,我點樣開個account?,,zh-hk,True
帳戶管理,建立戶口,開account有咩requirement?,,zh-hk,True
帳戶管理,建立戶口,開account有咩要做?,,zh-hk,True
帳戶管理,建立戶口,我要做咩先可以開acc?,,zh-hk,True
帳戶管理,建立戶口,點樣開個新account?,,zh-hk,True
帳戶管理,建立戶口,要點做先開到戶?,,zh-hk,True
帳戶管理,授權用戶,,用戶想更改有權訪問帳戶的人,zh-hk,True
帳戶管理,授權用戶,有邊啲人有權access我帳戶?,,zh-hk,True
帳戶管理,授權用戶,咩人可以睇我account啲資料?,,zh-hk,True
帳戶管理,授權用戶,我想改有權access我acc嘅人,,zh-hk,True
帳戶管理,授權用戶,點樣可以改我account嘅授權人,,zh-hk,True
帳戶管理,授權用戶,我想更改帳戶的授權人士,,zh-hk,True
帳戶管理,授權用戶,點樣先可以改有權access 我個account嘅人?,,zh-hk,True
帳戶管理,授權用戶,"我想改我個account嘅授權人, 應該點做?",,zh-hk,True
帳戶管理,更新地址,,用戶想更改帳單或郵寄地址,zh-hk,True
帳戶管理,更新地址,我要轉地址,,zh-hk,True
帳戶管理,更新地址,我要改address,,zh-hk,True
帳戶管理,更新地址,點樣update地址?,,zh-hk,True
帳戶管理,更新地址,我搬咗屋,,zh-hk,True
帳戶管理,更新地址,我點樣改地址?,,zh-hk,True
帳戶管理,更新地址,我要點樣改地址?,,zh-hk,True
帳戶管理,更新地址,如果想改地址要點做?,,zh-hk,True
帳戶管理,更新地址,"我想改郵寄地址, 要點做?",,zh-hk,True
帳戶管理,更新電話號碼,,用戶想更改聯絡號碼,zh-hk,True
帳戶管理,更新電話號碼,我點樣update電話號碼?,,zh-hk,True
帳戶管理,更新電話號碼,我要轉電話號碼,,zh-hk,True
帳戶管理,更新電話號碼,我轉咗電話號碼,,zh-hk,True
帳戶管理,更新電話號碼,我要update電話number,,zh-hk,True
帳戶管理,更新電話號碼,如果想改電話號碼要點做?,,zh-hk,True
帳戶管理,更新電話號碼,點樣改電話no.?,,zh-hk,True
帳戶管理,更新電郵地址,,用戶想更改帳戶的電郵地址,zh-hk,True
帳戶管理,更新電郵地址,我想改email address,,zh-hk,True
帳戶管理,更新電郵地址,我想update電郵地址,,zh-hk,True
帳戶管理,更新電郵地址,我點樣改email,,zh-hk,True
帳戶管理,更新電郵地址,我要update email address,,zh-hk,True
帳戶管理,更新電郵地址,如果想改email要點做?,,zh-hk,True
帳戶管理,更新電郵地址,點樣先可以改email address?,,zh-hk,True
帳戶管理,查詢帳單地址,,用戶想知道他們帳戶的帳單地址,zh-hk,True
帳戶管理,查詢帳單地址,我可以去邊度check帳單地址,,zh-hk,True
帳戶管理,查詢帳單地址,我想問我acc個帳單地址,,zh-hk,True
帳戶管理,查詢帳單地址,我啲帳單會寄去邊?,,zh-hk,True
帳戶管理,查詢帳單地址,我用咩地址去收帳單?,,zh-hk,True
帳戶管理,查詢帳單地址,我之前register咗邊度去收帳單?,,zh-hk,True
帳戶管理,查詢帳單地址,我之前set咗帳單地址係咩?,,zh-hk,True
帳戶管理,查詢帳單地址,我會係邊度收到我張帳單?,,zh-hk,True
帳戶管理,查詢帳戶密碼,,用戶想恢復或更改帳戶密碼,zh-hk,True
帳戶管理,查詢帳戶密碼,我想改密碼,,zh-hk,True
帳戶管理,查詢帳戶密碼,我想改password,,zh-hk,True
帳戶管理,查詢帳戶密碼,我點樣改密碼,,zh-hk,True
帳戶管理,查詢帳戶密碼,我唔記得咗個密碼,,zh-hk,True
帳戶管理,查詢帳戶密碼,我點樣恢復返個密碼,,zh-hk,True
帳戶管理,查詢帳戶密碼,我想轉個新密碼,,zh-hk,True
帳戶管理,查詢帳戶密碼,要點樣改account嘅password?,,zh-hk,True
帳戶管理,查詢帳戶密碼,點樣改返本身個密碼?,,zh-hk,True
帳戶管理,查詢帳戶密碼,"我想改我個account嘅password, 應該點做?",,zh-hk,True
帳戶管理,欺詐用途,,用戶想調查或報告用於欺詐的帳戶或卡,zh-hk,True
帳戶管理,欺詐用途,我懷疑有人用account做非法用途,,zh-hk,True
帳戶管理,欺詐用途,我想report用作不法行為嘅帳戶,,zh-hk,True
帳戶管理,欺詐用途,"我懷疑有人用account做非法用途,應該點做?",,zh-hk,True
帳戶管理,欺詐用途,要點舉報有問題嘅account?,,zh-hk,True
帳戶管理,欺詐用途,要點舉報用於欺詐嘅卡?,,zh-hk,True
帳戶管理,積分價值,,用戶想知道他們積分的價值,zh-hk,True
帳戶管理,積分價值,我想check積分值幾多錢,,zh-hk,True
帳戶管理,積分價值,我可以由積分拎到幾多錢,,zh-hk,True
帳戶管理,積分價值,我點樣知道積分個價值?,,zh-hk,True
帳戶管理,積分價值,我點知積分有咩用?,,zh-hk,True
帳戶管理,積分價值,積分值幾錢?,,zh-hk,True
帳戶管理,積分轉移,,用戶需要轉移積分,zh-hk,True
帳戶管理,積分轉移,我想轉積分去其他account,,zh-hk,True
帳戶管理,積分轉移,可唔可以轉積分去其他戶口?,,zh-hk,True
帳戶管理,積分轉移,我想俾points去另一個acc,,zh-hk,True
帳戶管理,積分轉移,點樣可以transfer d積分去其他account?,,zh-hk,True
帳戶管理,積分轉移,我要轉積分去其他account應該點做?,,zh-hk,True
帳戶管理,註銷帳戶,,用戶想註銷或關閉帳戶,zh-hk,True
帳戶管理,註銷帳戶,我想cancel個account,,zh-hk,True
帳戶管理,註銷帳戶,我點樣删除帳戶,,zh-hk,True
帳戶管理,註銷帳戶,我想delte account,,zh-hk,True
帳戶管理,註銷帳戶,我想delete account,,zh-hk,True
帳戶管理,註銷帳戶,點樣del左個account?,,zh-hk,True
帳戶管理,註銷帳戶,要點樣取消左個account?,,zh-hk,True
帳戶管理,顧客帳戶號碼,,問題關於用戶的帳戶號碼,zh-hk,True
帳戶管理,顧客帳戶號碼,我想知道我嘅account number,,zh-hk,True
帳戶管理,顧客帳戶號碼,我點樣知道戶口number?,,zh-hk,True
帳戶管理,顧客帳戶號碼,我點樣知道acc no.,,zh-hk,True
帳戶管理,顧客帳戶號碼,我個account no.係幾多?,,zh-hk,True
帳戶管理,顧客帳戶號碼,要點先攞到我個account no.?,,zh-hk,True
帳戶管理,顧客資料,,關於用戶帳戶資料的問題,zh-hk,True
帳戶管理,顧客資料,我想了解關於我account嘅info,,zh-hk,True
帳戶管理,顧客資料,我想知道我戶口嘅info,,zh-hk,True
帳戶管理,顧客資料,我想問我戶口資料,,zh-hk,True
帳戶管理,顧客資料,可唔可以比我個account 嘅資料我?,,zh-hk,True
帳戶管理,顧客資料,要點先攞到我嘅帳戶資料?,,zh-hk,True
付款方式,付款地點,,用戶想在店舖內付款,zh-hk,True
付款方式,付款地點,我可否在店舖內付款?,,zh-hk,True
付款方式,付款地點,我可唔可以嚟舖頭俾錢?,,zh-hk,True
付款方式,付款地點,我可以去邊啲分店俾錢?,,zh-hk,True
付款方式,付款地點,我想直接過嚟俾錢,,zh-hk,True
付款方式,付款地點,我可以去邊度俾錢?,,zh-hk,True
付款方式,付款地點,有邊啲舖頭可以收錢?,,zh-hk,True
付款方式,付款地點,可以係邊間舖頭俾錢?,,zh-hk,True
付款方式,付款地點,我可唔可以係店舖入面比錢?,,zh-hk,True
付款方式,付款歷史,,關於過往付款的基本問題,zh-hk,True
付款方式,付款歷史,我可以去邊度睇我過往付款?,,zh-hk,True
付款方式,付款歷史,我想問關於以前付款嘅問題,,zh-hk,True
付款方式,付款歷史,你可唔可以講我付款歷史?,,zh-hk,True
付款方式,付款歷史,我可唔可以睇我以前俾錢嘅記錄?,,zh-hk,True
付款方式,付款歷史,我去邊度check到之前俾咗幾多錢?,,zh-hk,True
付款方式,付款歷史,你知唔知道我付款紀錄?,,zh-hk,True
付款方式,付款歷史,有冇我之前比錢嘅record?,,zh-hk,True
付款方式,付款歷史,要點先check到比錢嘅record?,,zh-hk,True
付款方式,分期付款,,關於分期付款的問題,zh-hk,True
付款方式,分期付款,甚麼時分期付款?,,zh-hk,True
付款方式,分期付款,分期付款係咩?,,zh-hk,True
付款方式,分期付款,點樣做分期付款?,,zh-hk,True
付款方式,分期付款,我想分期付款,,zh-hk,True
付款方式,分期付款,我去邊度申請分期付款?,,zh-hk,True
付款方式,分期付款,我想apply分期付款,,zh-hk,True
付款方式,分期付款,我想分隔我每次要俾嘅錢,,zh-hk,True
付款方式,分期付款,分期付款有咩條件?,,zh-hk,True
付款方式,分期付款,申請分期付款嘅程序係咩?,,zh-hk,True
付款方式,分期付款,點樣做到分期?,,zh-hk,True
付款方式,自動轉帳,,用戶想使用自動轉帳繳費,zh-hk,True
付款方式,自動轉帳,我如何使用自動轉帳?,,zh-hk,True
付款方式,自動轉帳,我點樣用auto pay?,,zh-hk,True
付款方式,自動轉帳,我想將我account轉做自動轉帳,,zh-hk,True
付款方式,自動轉帳,我喺邊度轉俾錢方法做auto pay?,,zh-hk,True
付款方式,自動轉帳,我點樣set個account做自動轉帳?,,zh-hk,True
付款方式,自動轉帳,要點set auto pay?,,zh-hk,True
付款方式,自動轉帳,"我想將我個account轉做auto pay, 應該要點做?",,zh-hk,True
付款方式,退款,,用戶想退回款項,zh-hk,True
付款方式,退款,我想退款,,zh-hk,True
付款方式,退款,我要去邊度退款?,,zh-hk,True
付款方式,退款,我點樣先可以退款?,,zh-hk,True
付款方式,退款,我幾時先可以拎返錢?,,zh-hk,True
付款方式,退款,點先可以refund?,,zh-hk,True
付款方式,退款,"我想退錢, 要點做?",,zh-hk,True
付款方式,退款,退錢有咩手續?,,zh-hk,True
付款方式,驗證付款,,用戶需要已繳費的證明,zh-hk,True
付款方式,驗證付款,我想confirm你接收到我嘅payment,,zh-hk,True
付款方式,驗證付款,你可以check到我俾咗錢未?,,zh-hk,True
付款方式,驗證付款,你收到我payment未?,,zh-hk,True
付款方式,驗證付款,我可以喺邊度check到我付款狀態?,,zh-hk,True
付款方式,驗證付款,我點樣知道你地收到我個payment?,,zh-hk,True
付款方式,驗證付款,你地收到我payment之後會唔會通知我?,,zh-hk,True
付款方式,驗證付款,你地收到我付款之後可唔可以confirm我?,,zh-hk,True
付款方式,驗證付款,我點樣check到你地收到我payment未?,,zh-hk,True
付款方式,驗證付款,點攞我嘅payment record?,,zh-hk,True
付款方式,驗證付款,點prove我比左錢?,,zh-hk,True
付款方式,驗證付款,我點知你地收到比嘅錢?,,zh-hk,True